run_id,timestamp_local,timestamp_utc,mode,label,strategy,start,end,data_start,data_end,data_bars,is_probe,n_symbols,symbols,universe_hash,timeframe,bar_provider,starting_cash,costs_model,total_return,cagr,sharpe,sortino,calmar,max_drawdown,longest_dd_days,n_trades,win_rate,profit_factor,expectancy,total_costs,benchmark_total_return,alpha_annualized,beta,information_ratio,deflated_sharpe_p,n_trials,runtime_sec,code_fingerprint,data_fingerprint,python_version,notes,adx_min,avg_bars_held,avg_cost_per_trade,avg_loss,avg_loss_ex_boundary,avg_win,avg_win_ex_boundary,benchmark_max_dd,benchmark_sharpe,best,boundary_contaminated,correlation,cost_model,day_trades,diag_ambiguous_stop_target_bars,diag_bar_seconds,diag_bars_processed,diag_day_timeout_suppressed_bars,diag_exits_blocked_min_hold,diag_kill_switch_days,diag_orders_rejected_cash,diag_orders_rejected_cluster,diag_orders_rejected_exposure,diag_orders_rejected_liquidity,diag_orders_rejected_risk,diag_orders_rejected_vol_target,diag_orders_trimmed_by_cluster,diag_orders_trimmed_by_exposure,diag_orders_trimmed_by_vol_target,diag_peak_exposure_pct,diag_regime_blocked_bars,diag_regime_blocked_signals,diag_regime_unavailable_bars,diag_signals_generated,diag_slip_scale,donchian_period,ending_equity,exit_reasons,expectancy_ex_boundary,experiment,feed,fix_news_scoring,grid_size,is_oos_degradation,limit_allow_extended_hours,limit_cluster_corr_threshold,limit_cluster_lookback_days,limit_cluster_map,limit_daily_loss_limit_pct,limit_day_trade_exits,limit_day_trade_stop_pct,limit_day_trade_target_pct,limit_disable_day_timeout,limit_exit_check,limit_exit_scan_window,limit_extended_hours_max_pos_pct,limit_extended_hours_stop_mult,limit_max_cluster_exposure_pct,limit_max_hold_days_swing,limit_max_hold_hours_day,limit_max_position_pct,limit_max_positions,limit_max_total_exposure_pct,limit_min_hold_bars,limit_min_price,limit_regime_filter,limit_regime_ma_days,limit_regime_symbol,limit_regime_vol_max,limit_risk_per_trade_pct,limit_stop_loss_pct,limit_swing_only,limit_take_profit_pct,limit_trailing_arm_pct,limit_trailing_stop_pct,limit_vol_lookback_days,limit_vol_target_annual,max_dd,max_exposure,mc_boot_median_final,mc_boot_median_max_dd,mc_boot_p05_final,mc_boot_p95_final,mc_boot_p95_max_dd,mc_boot_prob_profitable,mc_median_final,mc_median_max_dd,mc_n_trades,mc_p05_final,mc_p95_final,mc_p95_max_dd,mc_perm_median_max_dd,mc_perm_p95_max_dd,mc_perm_worst_max_dd,mc_prob_profitable,mc_realised_final,mc_worst_max_dd,median_bars_held,min_confidence,n_boundary_exits,n_trades_ex_boundary,n_windows,no_news,offline,param_adx_exit_min,param_adx_min,param_adx_period,param_adx_scale,param_atr_min_mult,param_atr_period,param_chandelier_k,param_donchian_period,param_ema_fast,param_ema_slow,param_entry_style,param_exit_on_ema_cross,param_extended_min_confidence,param_min_confidence,param_momentum_lookback,param_momentum_pct_thresh,param_news_bearish_thresh,param_news_bullish_thresh,param_pullback_atr_max,param_rsi_extended,param_rsi_overbought,param_rsi_oversold,param_rsi_period,param_rsi_pullback_hi,param_rsi_pullback_lo,param_score_fixed,param_sep_scale_atr,param_slope_bars,param_stability,param_trigger_scale_atr,param_use_news,param_volume_period,param_volume_surge_mult,param_volume_z_min,param_volume_z_scale,param_w_news,param_w_quality,param_w_trend,param_w_trigger,param_w_volume,param_warmup_bars,pct_exits_at_fold_boundary,pct_windows_profitable,pnl_before_costs,preset,profit_factor_ex_boundary,rsi_oversold,starting_equity,swing_trades,symbols_audited,symbols_clean,symbols_with_issues,total_bars,total_commission,total_slippage,variant,volume_surge_mult,wf_grid,win_rate_ex_boundary,worst
20260820_144438_audit_ee26ae,2026-08-20 14:44:38,2026-08-20T19:44:38Z,audit,,,2024-08-19,2026-08-19,,,,False,18,AAPL|AMD|AMZN|CLSK|COIN|GOOGL|IONQ|LCID|MARA|META|MSFT|MSTR|NVDA|PLTR|RIOT|RIVN|SMCI|TSLA,d848afd031,5Min,,100000.0,,,,,,,,,,,,,,,,,,,,0.1,ee26aec47896,7f7745319a61,3.14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixed18,,,,,18.0,16.0,2.0,1648366.0,,,,,,,
20260820_144438_single_baseline_ee26ae,2026-08-20 14:44:38,2026-08-20T19:44:38Z,single,baseline,,2024-08-19 08:00:00+00:00,2026-08-18 23:55:00+00:00,,,,False,18,AAPL|AMD|AMZN|CLSK|COIN|GOOGL|IONQ|LCID|MARA|META|MSFT|MSTR|NVDA|PLTR|RIOT|RIVN|SMCI|TSLA,d848afd031,5Min,,100000.0,REALISTIC,-0.9833705524845596,-0.8713473525016471,-1.8692141724230504,-2.037384790203581,-0.8854776140505105,-0.984042214817576,727.1631944444445,1460.0,0.3636986301369863,0.3759830557157664,-67.35414743044926,0.0,0.418159631704476,-0.8388858654862376,1.0638382383922946,-2.1469947140759698,,,174.04,ee26aec47896,7f7745319a61,3.14.7,,,,,-169.63095320116258,,111.58210974656149,,-0.208463975845651,0.7201080354350623,2596.7022650143044,,0.2820606164707868,,865.0,0.0,,96000.0,,,13.0,148.0,,432.0,0.0,53.0,,,392.0,,0.999997674142598,,,,2093.0,,,1662.944751544046,"{""max_hold_day"": 598, ""max_hold_swing"": 32, ""stop_loss"": 489, ""take_profit"": 62, ""trailing_stop"": 279}",,,default,False,,,True,,,,0.06,False,0.03,0.09,,close,,0.1,1.5,,10.0,8.0,0.2,100.0,1.0,,2.0,,,,,0.05,0.05,,0.14,0.05,0.04,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,0.5,14.0,,,,,,,0.6,0.49,20.0,0.015,0.45,0.55,,,72.0,35.0,,,,False,,,,,True,,1.8,,,,,,,,80.0,,,,mixed18,,,100000.0,595.0,,,,,,,,,,,-9554.41044508161
20260820_225639_audit_a439c6,2026-08-20 22:56:39,2026-08-21T03:56:39Z,audit,,,2024-08-19,2026-08-19,,,,False,18,AAPL|AMD|AMZN|CLSK|COIN|GOOGL|IONQ|LCID|MARA|META|MSFT|MSTR|NVDA|PLTR|RIOT|RIVN|SMCI|TSLA,d848afd031,5Min,,100000.0,,,,,,,,,,,,,,,,,,,,0.22,a439c61996af,7f7745319a61,3.14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixed18,,,,,18.0,16.0,2.0,1648366.0,,,,,,,
20260820_225700_single_baseline_a439c6,2026-08-20 22:57:00,2026-08-21T03:57:00Z,single,baseline,,2024-08-19 08:00:00+00:00,2026-08-18 23:55:00+00:00,,,,False,18,AAPL|AMD|AMZN|CLSK|COIN|GOOGL|IONQ|LCID|MARA|META|MSFT|MSTR|NVDA|PLTR|RIOT|RIVN|SMCI|TSLA,d848afd031,5Min,,100000.0,REALISTIC,-0.5282910081881049,-0.3134851182058366,-0.2042084334624321,-0.233925786464297,-0.4583461906858085,-0.6839483442346908,644.6180555555555,1426.0,0.4684431977559607,0.870913827174108,-37.04705527265824,82592.46461881066,0.418159631704476,-0.1616659743765469,1.069393680947298,-0.422902778366813,,,337.7,a439c61996af,7f7745319a61,3.14.7,,,203.7215988779804,57.9189793960804,-539.913626225331,,533.5709997904045,,-0.208463975845651,0.7201080354350623,5980.448083122521,,0.2966274352451142,,852.0,0.0,,96000.0,,,3.0,325.0,,396.0,0.0,0.0,,,587.0,,0.9999991505199352,,,,2147.0,,,47170.89918118951,"{""end_of_backtest"": 1, ""max_hold_day"": 600, ""max_hold_swing"": 32, ""stop_loss"": 446, ""take_profit"": 56, ""trailing_stop"": 291}",,,default,False,,,True,,,,0.06,False,0.03,0.09,,close,,0.1,1.5,,10.0,8.0,0.2,100.0,1.0,,2.0,,,,,0.05,0.05,,0.14,0.05,0.04,,,,1.0,,,,,,,,,,,,,,,,,,,97.0,,,,,False,True,,,,,0.5,14.0,,,,,,,0.6,0.49,20.0,0.015,0.45,0.55,,,72.0,35.0,,,,False,,,,,True,,1.8,,,,,,,,80.0,,,29763.363800000003,mixed18,,,100000.0,574.0,,,,,0.0,82592.46461881066,,,,,-3214.747239312593
20260820_230239_single_baseline-stable_a439c6,2026-08-20 23:02:39,2026-08-21T04:02:39Z,single,baseline-stable,,2024-08-19 08:00:00+00:00,2026-08-18 23:55:00+00:00,,,,False,8,AAPL|AMD|AMZN|GOOGL|META|MSFT|NVDA|TSLA,238588ae78,5Min,,100000.0,REALISTIC,0.1350218085768726,0.0654513980203079,0.3063844604932469,0.2402742060651288,0.4736376724052462,-0.1381887502485391,362.0625,169.0,0.4852071005917159,1.2107792060794098,79.89456128809002,11814.479642312775,0.418159631704476,0.0058751952885559,0.3259819538144111,-0.3865972676793271,0.5626281354477146,2.0,170.93,a439c61996af,6ea52a3454ef,3.14.7,,,358.8224852071006,69.90816356398092,-736.3035662273627,,945.8608673105826,,-0.208463975845651,0.7201117860869272,3884.552007615154,,0.3450132600993666,,86.0,0.0,,95999.0,,,0.0,1.0,,4.0,0.0,0.0,,,4.0,,0.9999878350998128,,,,174.0,,,113502.18085768726,"{""end_of_backtest"": 1, ""max_hold_day"": 69, ""max_hold_swing"": 14, ""stop_loss"": 47, ""take_profit"": 11, ""trailing_stop"": 27}",,,default,False,,,True,,,,0.06,False,0.03,0.09,,close,,0.1,1.5,,10.0,8.0,0.2,100.0,1.0,,2.0,,,,,0.05,0.05,,0.14,0.05,0.04,,,,1.0,,,,,,,,,,,,,,,,,,,97.0,,,,,False,True,,,,,0.5,14.0,,,,,,,0.6,0.49,20.0,0.015,0.45,0.55,,,72.0,35.0,,,,False,,,,,True,,1.8,,,,,,,,80.0,,,25316.66049999999,stable8,,,100000.0,83.0,,,,,0.0,11814.479642312775,,,,,-1922.9367039047188
20260820_230530_single_baseline-volatile_a439c6,2026-08-20 23:05:30,2026-08-21T04:05:30Z,single,baseline-volatile,,2024-08-19 08:00:00+00:00,2026-08-18 23:55:00+00:00,,,,False,10,CLSK|COIN|IONQ|LCID|MARA|MSTR|PLTR|RIOT|RIVN|SMCI,4349f37fcd,5Min,,100000.0,REALISTIC,-0.5980921185580024,-0.3663692285807107,-0.2372394779067438,-0.2621520311085057,-0.526027701179419,-0.6964827665145119,644.6180555555555,1358.0,0.4639175257731959,0.86311545161686,-44.04212949617087,90915.83385579998,0.418159631704476,-0.1797017063492523,1.0416215983461343,-0.4379986627054593,0.0842349914986124,3.0,180.33,a439c61996af,7e49894e2ac4,3.14.7,,,182.73564064801167,66.94833126347568,-600.1810413325884,,598.6072797370227,,-0.208463975845651,0.7201080354350623,6246.021401284761,,0.2673668607215305,,838.0,0.0,,96000.0,,,2.0,291.0,,225.0,0.0,0.0,,,472.0,,0.9999990232890342,,,,1874.0,,,40190.78814419976,"{""max_hold_day"": 569, ""max_hold_swing"": 23, ""stop_loss"": 437, ""take_profit"": 58, ""trailing_stop"": 271}",,,default,False,,,True,,,,0.06,False,0.03,0.09,,close,,0.1,1.5,,10.0,8.0,0.2,100.0,1.0,,2.0,,,,,0.05,0.05,,0.14,0.05,0.04,,,,1.0,,,,,,,,,,,,,,,,,,,97.0,,,,,False,True,,,,,0.5,14.0,,,,,,,0.6,0.49,20.0,0.015,0.45,0.55,,,72.0,35.0,,,,False,,,,,True,,1.8,,,,,,,,80.0,,,31106.62199999996,volatile10,,,100000.0,520.0,,,,,0.0,90915.83385579998,,,,,-3323.0626672127983
20260820_230831_single_holdout-check_a439c6,2026-08-20 23:08:31,2026-08-21T04:08:31Z,single,holdout-check,,2024-08-19 08:00:00+00:00,2026-08-18 23:55:00+00:00,,,,False,15,ABBV|ADBE|AVGO|COP|CRM|GS|HON|KO|MS|NFLX|ORCL|PG|SLB|TMO|UNP,9d6f8ccb3c,5Min,,100000.0,REALISTIC,-0.0960743323445564,-0.0493050105438949,0.1194474730762962,0.1009279844400098,-0.3043623766458169,-0.161994432712919,271.34027777777777,242.0,0.4710743801652892,0.8902004060512515,-39.70013733246174,16443.59613445574,0.418159631704476,0.0178400163763634,0.3158482555777152,-0.0987191673270895,0.2147241086973601,4.0,200.66,a439c61996af,14e9e45db1c1,3.14.7,,,493.6776859504132,67.94874435725512,-683.591527480699,,683.2656340620503,,-0.208463975845651,0.7253042120943619,2938.930664882216,,0.0957261643910841,,99.0,0.0,,94630.0,,,0.0,0.0,,17.0,0.0,0.0,,,12.0,,0.9998703806627088,,,,259.0,,,90392.56676554435,"{""end_of_backtest"": 3, ""max_hold_day"": 85, ""max_hold_swing"": 42, ""stop_loss"": 63, ""take_profit"": 7, ""trailing_stop"": 42}",,,default,False,,,True,,,,0.06,False,0.03,0.09,,close,,0.1,1.5,,10.0,8.0,0.2,100.0,1.0,,2.0,,,,,0.05,0.05,,0.14,0.05,0.04,,,,1.0,,,,,,,,,,,,,,,,,,,204.0,,,,,False,True,,,,,0.5,14.0,,,,,,,0.6,0.49,20.0,0.015,0.45,0.55,,,72.0,35.0,,,,False,,,,,True,,1.8,,,,,,,,80.0,,,6836.162899999998,holdout15,,,100000.0,143.0,,,,,0.0,16443.59613445574,,,,,-3025.393625515787
20260820_231603_audit_a439c6,2026-08-20 23:16:03,2026-08-21T04:16:03Z,audit,,,2024-08-19,2026-08-19,,,,False,18,AAPL|AMD|AMZN|CLSK|COIN|GOOGL|IONQ|LCID|MARA|META|MSFT|MSTR|NVDA|PLTR|RIOT|RIVN|SMCI|TSLA,d848afd031,5Min,,100000.0,,,,,,,,,,,,,,,,,,,,0.14,a439c61996af,7f7745319a61,3.14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mixed18,,,,,18.0,16.0,2.0,1648366.0,,,,,,,
20260820_231152_single_prepatch-2x_a439c6,2026-08-20 23:11:52,2026-08-21T04:11:52Z,single,prepatch-2x,,2024-08-19 08:00:00+00:00,2026-08-18 23:55:00+00:00,,,,False,18,AAPL|AMD|AMZN|CLSK|COIN|GOOGL|IONQ|LCID|MARA|META|MSFT|MSTR|NVDA|PLTR|RIOT|RIVN|SMCI|TSLA,d848afd031,5Min,,100000.0,REALISTIC,-0.6319816389003068,-0.393702461897532,-0.1706753884428014,-0.1961756694273013,-0.5554298289494106,-0.7088248440711509,644.6180555555555,1705.0,0.4686217008797654,0.8852043690383358,-37.06637178300927,114474.03289003076,0.418159631704476,-0.2045712169902875,1.5613539338229436,-0.3458687158469155,0.0467670625978552,6.0,416.15,a439c61996af,7f7745319a61,3.14.7,,,201.1624633431085,67.1401952434198,-607.6463642138558,,609.9242078694903,,-0.208463975845651,0.7201080354350623,5747.574583815538,,0.3409030042411051,,1032.0,0.0,,96000.0,,,17.0,16.0,,15.0,0.0,0.0,,,27.0,,2.065965743664791,,,,1736.0,,,36801.836109969314,"{""end_of_backtest"": 1, ""max_hold_day"": 727, ""max_hold_swing"": 38, ""stop_loss"": 528, ""take_profit"": 73, ""trailing_stop"": 338}",,,default,False,,,True,,,,0.06,False,0.03,0.09,,close,,0.1,1.5,,10.0,8.0,0.2,100.0,2.0,,2.0,,,,,0.05,0.05,,0.14,0.05,0.04,,,,2.0,,,,,,,,,,,,,,,,,,,97.0,,,,,False,True,,,,,0.5,14.0,,,,,,,0.6,0.49,20.0,0.015,0.45,0.55,,,72.0,35.0,,,,False,,,,,True,,1.8,,,,,,,,80.0,,,51275.86899999999,mixed18,,,100000.0,673.0,,,,,0.0,114474.03289003076,,,,,-3214.747239312593
20260820_231622_single_baseline_a439c6,2026-08-20 23:16:22,2026-08-21T04:16:22Z,single,baseline,,2024-08-19 08:00:00+00:00,2026-08-18 23:55:00+00:00,,,,False,18,AAPL|AMD|AMZN|CLSK|COIN|GOOGL|IONQ|LCID|MARA|META|MSFT|MSTR|NVDA|PLTR|RIOT|RIVN|SMCI|TSLA,d848afd031,5Min,,100000.0,REALISTIC,-0.5314044114228148,-0.3157570564819396,-0.2048899802288478,-0.2345146239440052,-0.4616679887356967,-0.6839483442346908,644.6180555555555,1439.0,0.4690757470465601,0.8701429983490706,-36.9287290773326,82865.5159422816,0.418159631704476,-0.1624066905091894,1.0706785959826968,-0.4224782372997986,0.0329403483497527,7.0,424.89,a439c61996af,7f7745319a61,3.14.7,,,202.1556636553162,57.58548710373982,-535.6318900718661,,527.5293672187024,,-0.208463975845651,0.7201080354350623,5980.448083122521,,0.2955756868887846,,861.0,0.0,,96000.0,,,3.0,341.0,,393.0,0.0,0.0,,,612.0,,0.9999991505199352,,,,2173.0,,,46859.55885771852,"{""end_of_backtest"": 1, ""max_hold_day"": 607, ""max_hold_swing"": 31, ""stop_loss"": 450, ""take_profit"": 57, ""trailing_stop"": 293}",,,default,False,,,True,,,,0.06,False,0.03,0.09,,close,,0.1,1.5,,10.0,8.0,0.2,100.0,1.0,,2.0,,,,,0.05,0.05,,0.14,0.05,0.04,,,,1.0,,,,,,,,,,,,,,,,,,,97.0,,,,,False,True,,,,,0.5,14.0,,,,,,,0.6,0.49,20.0,0.015,0.45,0.55,,,72.0,35.0,,,,False,,,,,True,,1.8,,,,,,,,80.0,,,29725.074799999995,mixed18,,,100000.0,578.0,,,,,0.0,82865.5159422816,,,,,-3214.747239312593
